f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,label
-0.60742,1.464735,-1.676172,0,-1.608275,0.089688,-1.494171,-0.778305,1.77262,0.974577,-0.988033,-0.471276,0.087858,-0.570382,0.944857,-2.222528,-2.219726,2.308067,-1.113364,-2.143629,2.401533,2.405977,2.160149,-0.196101,0.618599,0.739742,0.774429,2.285888,-0.520129,-2.131992,0.582103,1.225526,0,0.557528,-0.798679,0.783643,0.713846,2.29141,-0.103275,-2.143409,0.780364,0.852086,1.995161,0.907232,-0.074547,0.196682,-0.998332,2.067725,0.201645,-1.995358,-0.499565,-0.706937,2.034529,1.674728,-0.777871,0.788861,0.771673,2.290452,-0.252339,-2.128014,-0.618832,0.126878,1.858279,1.037648,-0.474068,happy
-1.110422,1.226216,-1.090098,0,-1.498533,-0.310544,-1.186983,-0.778305,1.908241,1.553231,-1.450105,-0.92925,0.367863,-1.354937,1.770007,-2.222528,-2.219726,2.23856,0.612506,-2.143629,2.459626,2.494895,2.221004,-0.69702,0.439881,-0.251265,-0.313067,2.164859,0.37086,-2.131992,-0.045978,0.620163,0,0.626935,-0.692203,-0.658269,-0.581149,2.15092,-0.015288,-2.143409,0.254832,0.396033,2.284739,0.779877,-1.261289,-2.920765,-0.998332,3.638799,-3.21634,-1.995358,-1.963539,-1.800643,2.312377,1.13411,-1.661252,-0.469753,-0.597871,2.149755,0.693155,-2.128014,-1.842151,-0.314791,2.277638,1.244358,-1.535924,happy
-1.478753,1.226216,-2.262247,0,-2.632528,0.107612,-1.515274,-0.778305,1.762685,0.935184,-1.544168,-0.578359,0.473526,-1.111764,2.398421,-2.222528,-2.219726,2.186505,-1.554796,-2.143629,2.373052,2.476499,2.472869,-1.575271,-0.751698,-2.339579,-2.142038,2.277401,0.469645,-2.131992,0.014012,0.313835,0,1.777736,-0.902458,-2.647221,-2.763454,2.228529,1.824591,-2.143409,-0.010534,0.001547,3.601531,2.124755,-1.58273,-6.520608,-0.998332,4.494818,-6.236467,-1.995358,-2.877244,-3.053697,3.642751,2.627629,-1.9818,-2.350714,-2.309802,2.288145,0.944179,-2.128014,-3.218085,-1.099334,4.192631,3.186835,-1.873257,happy
-2.277242,1.226216,-1.090098,0,-1.580136,-0.799151,-0.814832,-0.778305,2.097529,2.02241,-0.291397,1.327171,2.084876,-2.03472,1.432271,-2.222528,-2.219726,2.10586,0.088737,-2.143629,2.110913,2.240405,3.361511,-1.294491,-2.134815,-3.656562,-3.97101,2.217838,3.471905,-2.131992,-0.712843,-0.036255,0,0.108511,-0.684172,-3.220103,-3.315026,2.255755,2.037358,-2.143409,-0.137074,-0.041778,3.638704,1.488266,-1.541095,0.213208,-0.998332,2.043011,0.219444,-1.995358,-2.358141,-2.264201,3.379757,1.487905,-1.983714,-3.525134,-3.948364,2.251881,3.307029,-2.128014,-2.318476,-0.410679,3.726682,0.545975,-1.87961,happy
-0.078946,1.001832,-1.383135,0,-0.993441,-0.774142,-0.195558,0.890313,-0.32982,0.756805,-1.027522,-0.081199,0.27805,-0.468597,1.368493,-2.222528,-2.219726,2.23451,-0.950053,-2.143629,2.288759,2.266467,2.178131,0.28706,-0.070062,0.349222,0.255397,2.195039,0.191715,-2.131992,0.335635,1.225526,0,-0.696512,0.366777,-0.200197,-0.509205,2.17617,1.28901,-2.143409,0.633698,0.751754,1.987274,0.473687,-0.520765,0.229061,-0.998332,2.019094,0.236794,-1.995358,-0.434265,-0.409971,2.038719,0.370972,-0.815362,0.324911,0.111357,2.196544,0.684491,-2.128014,-0.092305,0.340448,1.923437,0.58532,-0.242083,happy
-0.161226,1.674985,-0.504024,0,-0.741599,-0.565028,-0.395199,0.732378,-0.192087,0.563617,-1.022486,0.083301,0.690133,-0.991895,1.265299,-2.222528,-2.219726,2.176379,-0.897092,-2.143629,2.176098,2.22814,2.450949,-0.76662,-1.119726,-1.678398,-1.351132,2.075078,-0.67619,-2.131992,-0.887886,-0.142011,0,0.058861,0.906719,-0.971314,-0.461242,2.15809,-1.571702,-2.143409,0.364181,0.53969,2.855651,0.155938,-1.468125,0.196682,-0.998332,2.067725,0.201645,-1.995358,-1.916976,-1.916533,2.863557,1.661201,-1.870643,-1.453534,-1.038082,2.098954,-1.126933,-2.128014,-1.022602,0.045518,2.875478,0.390372,-1.67528,happy
-0.905073,1.226216,-1.090098,0,-1.902325,-0.129089,-1.385106,-0.778305,1.758314,1.552642,-1.066709,-0.765754,0.087858,-0.772167,1.742686,-2.222528,-2.219726,2.240029,1.163189,-2.143629,2.407351,2.473432,2.334463,-1.110313,-0.171217,-0.736846,-0.807384,2.196398,0.709661,-2.131992,2.027066,3.048909,0,-1.204658,1.633684,-0.406299,-0.581149,2.199811,0.874216,-2.143409,0.161342,0.234134,2.947894,1.570675,-1.504294,-1.163193,-0.998332,2.91082,-1.528287,-1.995358,-2.493362,-2.47425,2.897885,2.01291,-1.901805,-0.640216,-0.573415,2.195963,0.006066,-2.128014,-1.913665,-0.410679,2.746535,1.885293,-1.733769,happy
-0.161097,1.226216,-1.090098,0,-0.382829,-0.741028,0.367106,1.559819,-1.096327,1.340253,-0.61826,-1.135162,-1.412546,1.288922,1.07543,-2.222528,-2.219726,2.290656,-2.162528,-2.143629,2.207164,2.21281,2.253429,-0.131038,-0.611345,-1.874663,-1.845448,2.003417,0.813056,-2.131992,2.02839,3.048909,0,-1.199745,1.683191,-1.727337,-1.612348,2.014616,0.335106,-2.143409,0.806474,1.060731,2.622452,-1.484534,-1.067339,0.229061,-0.998332,2.019094,0.236794,-1.995358,-0.16196,0.194827,2.581811,-1.267185,-1.441869,-1.89883,-1.62503,1.997254,-0.40492,-2.128014,-0.224428,0.45813,2.634448,-1.078579,-1.403967,happy
-1.466448,1.226216,-1.844611,0,-2.998333,0.904964,-1.798074,-0.778305,1.583518,0.635574,0.934942,-0.216344,0.19352,-0.811697,-1.739594,-2.222528,-2.219726,2.291549,-1.228379,-2.143629,2.269978,2.306327,2.27268,-0.635703,-0.466762,-1.06404,-0.486078,2.340809,-1.812357,-2.131992,-0.373224,0.519877,0,-0.808141,-0.862684,-1.074296,-0.293372,2.327376,-2.334746,-2.143409,0.124775,0.293421,3.222141,0.543196,-1.526441,0.229061,-0.998332,2.019094,0.236794,-1.995358,-2.36313,-2.126582,3.163111,1.021184,-1.911871,-0.802403,-0.304398,2.375037,-1.437772,-2.128014,-2.893621,-0.829102,3.116508,2.501954,-1.781826,happy
-2.244449,1.226216,-1.090098,0,-2.881557,6.410817,-2.817566,-0.778305,1.007581,-1.857046,-1.333059,-2.512383,-1.824629,0.622005,1.171413,-2.222528,-2.219726,2.390002,0.746491,-2.143629,2.324892,2.439705,2.501337,-1.70953,-0.897829,-2.846703,-2.265617,2.25901,-0.948732,-2.131992,-0.897727,-0.455633,0,1.163119,-0.542117,-3.24999,-2.595585,2.207678,-0.877582,-2.143409,-0.232094,-0.251563,4.327202,2.310289,-1.621815,-4.374826,-0.998332,4.074175,-4.446153,-1.995358,-3.612012,-3.85768,4.453078,2.859966,-2.022655,-3.095337,-2.163065,2.254517,-2.243826,-2.128014,-3.521133,-1.160354,4.408825,2.793196,-1.894483,happy
