f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,label
18.0339,1.35,-2.54,0,17.86,-1.11817,286.398,1,0.734543,388.538,-1.37021,486.636,538,-0.15029,341.765,0,0,138.734,-0.18294,0,911.86,929,137.556,-0.124604,41.1804,975.18,1000,140.686,-0.176421,0,570.02,500,0,0.346251,2.03876,980.02,1000,141.279,-0.141422,0,821.02,804,143.027,0.118999,22.1091,980.02,0,141.279,-0.141422,0,782.44,755,143.884,0.190709,17.7175,978.34,1000,141.197,-0.153403,0,763.56,756,135.311,0.0558712,20.8618,happy
14.5267,0,0,0,18.64,-1.40063,324.464,1,0.788655,410.146,-1.58493,461.112,564.5,-0.279059,370.487,0,0,135.233,-0.0738044,0,930.481,958,140.771,-0.195489,38.8018,940.173,956,134.454,-0.117713,0,391.635,334,0,0.365404,4.1822,927.962,946,134.029,-0.134586,0,618.981,604,160.064,0.0935924,4.78874,906.077,0,229.894,-0.408549,0,618.981,604,160.064,0.0935924,4.78874,932.865,944,133.938,-0.0831326,0,618.981,604,160.064,0.0935924,4.78874,happy
11.9585,0,-5.08,0,10.58,-1.10552,283.783,1,0.730579,387.067,-1.62864,480.668,574.5,-0.239147,392.361,0,0,132.611,-0.210854,0,902.731,952,154.077,-0.31977,22.9427,866.404,882,140.249,-0.111204,0,408.673,250,0,0.682972,-0.050383,856.154,855,138.034,0.00835916,0,516.962,431,237.536,0.361888,0.0973433,820.692,0,278.177,-0.644582,0,516.962,431,237.536,0.361888,0.0973433,864.904,874,141.078,-0.0644762,0,456.365,334,273.098,0.448064,-0.317386,happy
6.39101,0,0,0,18.06,-1.74546,370.58,1,0.864179,427.666,-1.04649,586.868,727,-0.390632,358.731,0,0,128.549,-0.106925,0,818.706,875,201.024,-0.280037,4.53437,819.882,808,137.182,0.0866175,0,202.235,154,0,0.222343,4.34387,835.471,832,139.439,0.0248896,0,468.314,412,239.723,0.234912,0.705,980.412,0,139.885,-0.140031,0,574.922,540,222.221,0.157148,0.0693335,822.471,807,139.207,0.111134,0,562.686,571,245.595,-0.0338514,-0.41355,happy
21.7187,-1.27,-1.27,0,22.23,-1.72781,447.319,487,-0.104313,380.406,-1.38856,508.376,556,-0.133584,356.511,0,0,135.029,-0.172613,0,875.712,883.5,138.506,-0.056232,32.0148,961.385,979,136.008,-0.129517,0,500.019,500,0,1.94E-04,25.5002,944.5,949,135.332,-0.0332516,0,764.635,760,142.563,0.0325092,15.5966,980.788,0,138.536,-0.138675,0,789.731,796,144.128,-0.0434977,17.1688,961.577,973,136.352,-0.0837765,0,825.788,829.5,139.157,-0.0266716,24.3733,happy
21.145,2.54,2.54,0,24.02,-1.58023,422.58,441,-0.0493588,373.192,-1.38622,517.544,595,-0.219473,352.919,0,0,132.101,-0.169264,0,839.6,871,152.919,-0.205338,18.0445,889.76,914,129.831,-0.186704,0,152.52,125,0,0.208642,36.3696,916.66,951,134.399,-0.255508,0,661.02,667,193.653,-0.03088,1.77,980.02,0,141.279,-0.141422,0,624.18,588,192.161,0.188279,1.7242,897.32,926,131.317,-0.218404,0,715.84,728,195.352,-0.0622466,2.67935,happy
15.9585,0,0,0,15.77,-1.27257,299.913,1,0.728835,410.124,-1.40677,470.224,538,-0.183409,369.536,0,0,135.307,-0.0389819,0,913.725,951,146.765,-0.253974,30.6685,923.02,936,136.078,-0.0953891,0,980.412,1000,0,-0.140031,51.0039,937.059,946,136.552,-0.0654781,0,583.039,533,199.08,0.251352,1.24211,947.765,0,188.833,-0.276622,0,559.824,511,194.16,0.25146,1.26812,926.706,945,136.322,-0.134198,0,610.529,571,187.741,0.210553,1.79402,happy
21.1459,0,0,0,26.57,-1.70444,517.043,682,-0.410143,402.193,-1.19838,449.636,396,0.154878,346.31,0,0,137.857,-0.249284,0,849.558,866,142.484,-0.115397,24.8107,882.827,894,126.141,-0.0885763,0,980.788,1000,0,-0.138675,52.0005,889.365,903,126.995,-0.107363,0,831.058,895.5,179.933,-0.358145,7.61942,980.788,0,138.536,-0.138675,0,820.135,879.5,175.754,-0.337776,7.99954,881.231,902,126.07,-0.164743,0,810.173,870,181.125,-0.330307,6.78614,happy
12.0443,0,-3.27,0,7.98,-0.542796,248.739,1,0.659093,375.879,-0.476623,500.844,548,-0.189897,248.324,0,0,137.902,-0.190213,0,869.692,896.5,143.501,-0.186812,26.735,911.462,949,143.514,-0.261567,0,298.692,306.5,0,-0.0306105,0.750312,912.942,958,143.135,-0.314791,0,568.981,559,215.215,0.0463758,0.918877,980.788,0,138.536,-0.138675,0,574.365,559,209.605,0.0733063,1.1208,920.846,956,145.561,-0.241506,0,494.712,427,209.579,0.323084,1.06658,happy
6.61966,0,0,0,8.81,3.34291,122.406,1,0.429299,282.8,-1.53054,372.88,357,0.0454168,349.651,0,0,142.861,-0.0653318,0,887.294,940,155.581,-0.338769,20.9978,848.49,877,139.302,-0.204662,0,149.725,39,0,0.513366,7.20354,834.392,862,136.958,-0.20158,0,431.784,320,280.23,0.398901,-0.473098,871.588,0,254.451,-0.504663,0,434.922,320,284.724,0.403625,-0.50059,838,880,139.343,-0.301413,0,420.549,313,285.859,0.376231,-0.638669,happy
20.9901,-14.62,13.13,0,32.56,-1.40858,453.04,421,0.0949165,337.556,-0.125472,639.064,649,-0.0458993,216.474,0,0,136.719,-0.0780688,0,888.204,892,140.419,-0.0270327,34.5196,975.694,1000,142.44,-0.170641,0,413.429,313,0,0.278441,-1.73954,979.612,1000,142.712,-0.14286,0,836.408,867,146.483,-0.208842,22.0982,979.612,0,142.712,-0.14286,0,885.224,904,137.458,-0.136591,37.2791,977.041,1000,142.508,-0.161108,0,879.469,891,136.159,-0.0846848,37.763,happy
17.9627,-14.15,10.39,0,28.07,-1.49251,425.644,462,-0.103113,352.587,-0.492162,597.744,660,-0.226803,274.494,0,0,132.582,-0.0916935,0,910.529,920,133.81,-0.0707766,44.9792,973.824,1000,139.427,-0.187743,0,339.431,308,0,0.119384,-0.784586,977.196,1000,139.872,-0.163035,0,775.882,769,147.048,0.0468034,14.8966,980.412,0,139.885,-0.140031,0,887.863,892,134.03,-0.0308682,40.0904,976.784,1000,139.831,-0.166027,0,884.196,910,134.257,-0.192198,39.0923,happy
28.3437,-13.3,4.97,0,34.26,-1.54814,405.948,338,0.199726,340.208,-0.833574,541.612,585,-0.148854,291.481,0,0,136.974,-0.0190121,0,863.833,861,137.365,0.0206263,34.542,966.146,991,142.607,-0.174284,0,266.688,200,0,0.309212,7.46808,978.313,1000,144.19,-0.150409,0,905.563,943,150.695,-0.248433,28.4497,979.188,0,144.193,-0.144338,0,901.875,947,148.434,-0.304007,29.6857,964.542,978,142.613,-0.0943699,0,896.896,938,151.133,-0.271973,26.7647,happy
17.4787,-12.26,8.9,0,28.12,-1.66114,459.168,493,-0.0883514,382.922,-0.553607,505.064,558,-0.197826,267.589,0,0,130.204,0.0477062,0,886.577,892,133.025,-0.0407675,40.207,963.558,984,136.696,-0.149546,0,346.192,91,0,0.827013,-0.89933,976.846,1000,138.516,-0.167156,0,764.635,772,143.054,-0.0514868,15.3808,980.788,0,138.536,-0.138675,0,849.923,865,131.626,-0.114543,35.0861,968.365,979,137.456,-0.0773674,0,857.385,881,133.042,-0.177504,34.7782,happy
23.8277,-7.92,7.13,0,33.24,-1.60717,430.495,442,-0.0318553,361.163,-0.782658,573.94,636,-0.233823,265.415,0,0,132.936,-0.0381908,0,832.365,814,140.727,0.130504,24.0795,978.481,1000,138.321,-0.155574,0,281.942,72,0,0.710539,-0.290304,980.788,1000,138.536,-0.138675,0,849.5,911,157.658,-0.390085,15.7108,980.788,0,138.536,-0.138675,0,907.904,938,143.509,-0.209716,32.0746,979.981,1000,138.479,-0.144565,0,904.135,938,143.456,-0.236067,31.5471,happy
28.9466,-11.81,3.48,0,33.58,-1.58953,382.259,218,0.449896,365.103,-1.11995,511.068,545,-0.110908,305.947,0,0,134.766,-0.0827048,0,939.25,957,140.02,-0.126767,45.5449,971.146,991,143.291,-0.138558,0,279.063,154,0,0.378692,0.364362,977.438,1000,144.184,-0.156484,0,844.646,910.5,165.737,-0.397342,13.3605,979.188,0,144.193,-0.144338,0,866.875,936,158.269,-0.436757,18.6479,972.354,1000,143.684,-0.192408,0,862.833,937,163.482,-0.45367,15.7239,happy
20.7742,-10.83,10.39,0,32.22,-1.42137,459.614,441,0.0540704,344.253,0.106542,603.548,651,-0.22291,212.875,0,0,133.518,-0.117818,0,812.077,801,142.354,0.0778126,20.6107,979.25,1000,138.39,-0.149939,0,125.442,63,0,0.277959,11.0276,980.788,1000,138.536,-0.138675,0,736.038,697,148.427,0.263014,11.5299,980.788,0,138.536,-0.138675,0,892.135,903,129.861,-0.0836695,45.7597,980.385,1000,138.507,-0.14162,0,901.558,914,131.004,-0.0949767,46.0995,happy
28.6001,-12.8,5.19,0,35.44,-1.49027,396.784,315.5,0.241972,335.924,-0.731871,565.452,634,-0.230999,296.745,0,0,137.052,-0.0434616,0,899.022,913,140.856,-0.0992377,38.7845,962.978,991,145.676,-0.192357,0,111.043,44,0,0.323936,10.712,975.543,1000,147.254,-0.166084,0,877.326,905,138.411,-0.19994,37.6318,978.283,0,147.292,-0.147444,0,870.891,910,150.274,-0.260249,25.5654,969.739,1000,147.036,-0.205806,0,879.391,905,143.497,-0.178462,32.5148,happy
17.9084,-11.31,3.98,0,24.96,-1.53918,363.698,206.5,0.441193,356.303,-0.983879,505.948,528,-0.0748504,294.614,0,0,137.015,-0.0847862,0,897.404,901,138.661,-0.0259319,40.0938,964.34,991,144.074,-0.185041,0,171.936,40,0,0.44166,2.63398,974.277,1000,145.639,-0.176625,0,908.064,929,142.095,-0.147339,37.964,978.745,0,145.716,-0.145868,0,900.277,946,153.777,-0.297335,25.9278,964.809,978,144.508,-0.0912856,0,912.128,962,150.14,-0.332173,30.4656,happy
28.4269,-11.31,4.97,0,32.99,-1.48973,345.69,172,0.480866,361.202,-1.09394,531.372,551,-0.0653042,300.562,0,0,136.627,6.10E-04,0,915.708,924,139.242,-0.0595488,41.8419,961.375,991,142.679,-0.207633,0,166.292,39,0,0.505743,4.6799,936.583,959,138.762,-0.161547,0,876.604,942,167.713,-0.389927,15.2219,979.188,0,144.193,-0.144338,0,885.75,950.5,155.848,-0.41547,22.0931,953.375,979,141.549,-0.181033,0,879.458,955.5,162.54,-0.467835,17.7146,happy
10.9333,-1.81,1.72,0,28.16,-1.70856,445.114,537,-0.239775,383.22,-0.94109,482.168,452,0.0969093,311.301,0,0,138.562,-0.246765,0,907.5,1000,193.541,-0.477936,8.82248,973.038,990,137.583,-0.123282,0,170.692,125,0,0.342672,30.0392,950.712,954,136.021,-0.0241762,0,731.154,710,131.243,0.16118,19.1173,980.788,0,138.536,-0.138675,0,743.5,721,132.304,0.170063,19.5903,965.096,976,136.784,-0.079716,0,734.269,704,142.435,0.212513,13.6256,happy
