,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
senang,24.4209,-3.81,4.36,88.43,37.13,-0.733748,629.673,770,-0.435567,322.17,-1.32978,510.34,527,-0.0516083,322.816,929.943,943,130.902,-0.0997435,51.5623,919.887,932,131.029,-0.0924471,49.0392,970.623,991,135.806,-0.150048,52.9062,742.132,833,258.737,-0.351198,0.976322,981.151,1000,137.222,-0.137362,53.0018,941.774,989,141.413,-0.33396,39.1457,981.151,1000,137.222,-0.137362,53.0018,945.094,989,140.536,-0.312416,40.8165,981.151,1000,137.222,-0.137362,53.0018,943.962,989,141.121,-0.319143,39.8929,1
senang,28.9232,-6.74,1.04,87.58,32.86,-1.3307,440.466,576,-0.414769,326.771,-0.500158,451.236,431,0.0736344,274.817,933.522,951,142.003,-0.123084,44.0198,915.87,943,139.902,-0.193925,43.2373,959.826,983,144.664,-0.160191,45.7948,565.239,500,200.178,0.325905,2.35796,977.37,1000,147.287,-0.153649,45.827,953.174,979,145.523,-0.177471,43.3376,978.283,1000,147.292,-0.147444,46.003,954.065,977,144.658,-0.158545,44.6373,957.261,978,144.233,-0.143789,45.8542,942.109,961,144.359,-0.130863,42.663,1
senang,27.1528,-6.23,0.52,87.51,31.78,-1.63204,481.328,688,-0.561314,368.194,-1.17568,495.956,451,0.141703,317.256,960.298,977,143.54,-0.116359,46.2084,928.021,945,138.602,-0.1225,46.3648,965.638,991,144.347,-0.1757,46.1972,518.213,334,228.276,0.806972,-0.260921,951.043,958,142.951,-0.0486702,45.1206,959.128,986,143.543,-0.187208,45.9641,978.745,1000,145.716,-0.145868,47.0038,951.043,976,142.86,-0.174699,45.2417,960.021,978,143.78,-0.125043,45.8235,940.681,959,141.934,-0.129068,44.3873,1
senang,25.0225,-7.25,1.04,87.4,31.04,-1.61292,428.552,558.5,-0.370842,350.414,-1.0068,479.94,478,0.00626789,309.514,953.592,977,139.505,-0.167795,48.131,942.184,958,138.668,-0.114059,46.9101,966.878,991,141.2,-0.170839,48.4954,442.735,334,196.861,0.552343,1.02279,973.612,1000,142.61,-0.185034,47.8809,913.714,933,136.425,-0.141365,44.1169,979.612,1000,142.712,-0.14286,49.0035,944.082,965,139.203,-0.150273,46.5449,956.408,978,139.799,-0.154449,48.3042,914.449,934,136.724,-0.142996,43.8535,1
senang,25.6878,-1.09,1.04,89.17,32.6,-1.38298,568.446,778,-0.543142,385.819,-1.50353,509.944,562,-0.155365,335.056,943.255,965,135.079,-0.16098,50.2062,915.647,927,131.861,-0.086098,49.0252,974.235,991,139.066,-0.120552,50.9065,980.412,1000,139.885,-0.140031,51.0039,980.412,1000,139.885,-0.140031,51.0039,917.078,934,133.406,-0.126843,46.9654,980.412,1000,139.885,-0.140031,51.0039,939.412,960,135.539,-0.151899,48.6338,976.804,1000,139.627,-0.166129,50.6061,942.745,960,136.329,-0.126568,48.167,1
senang,25.7291,-5.98,2.08,-90,32.84,-1.50318,438.621,594.5,-0.434851,358.466,-0.508616,405.404,377,0.0978776,290.199,945.979,963,141.197,-0.12055,46.4894,951.957,970,142.488,-0.126625,45.9378,962.872,982,143.662,-0.133144,46.5709,978.745,1000,145.716,-0.145868,47.0038,976.872,1000,145.714,-0.15872,46.6244,935.851,958,140.409,-0.157746,45.4723,978.745,1000,145.716,-0.145868,47.0038,949,975,142.116,-0.182949,45.8394,962.149,977,143.751,-0.103311,46.2994,950.319,973,142.892,-0.158727,45.0507,1
senang,28.1502,-5.98,0.55,88.34,33.19,-1.49254,449.336,601,-0.429488,353.127,-0.496825,379.608,352,0.0968161,285.159,943.375,963,139.981,-0.140197,46.4596,923.458,943,138.804,-0.140786,43.9696,961.5,982,142.416,-0.143944,46.8178,389.5,334,172.872,0.321047,5.7485,957.313,958,142.517,-0.004824,45.8152,937.375,959,140.15,-0.154299,44.9755,979.188,1000,144.193,-0.144338,48.0009,938.271,953,139.677,-0.105452,45.8189,963.604,978,142.885,-0.100751,46.5989,941.604,973,141.171,-0.222396,44.4492,1
senang,23.0901,-3.81,3.81,89.13,34.55,-1.32948,569.396,777,-0.552652,375.65,-1.47617,493.944,485.5,0.0250334,337.309,926.059,946,133.881,-0.148947,48.2188,920.275,938,133.906,-0.132373,46.9148,973.176,991,138.907,-0.128313,50.9184,264.725,250,116.267,0.126652,33.8559,980.412,1000,139.885,-0.140031,51.0039,919.294,932,133.282,-0.0953308,47.6371,980.412,1000,139.885,-0.140031,51.0039,916.706,937,132.183,-0.15353,48.7561,958.314,977,136.769,-0.136627,50.9412,919.882,937,132.91,-0.128791,48.3385,1
senang,26.7343,-2.99,2.86,-90,33.36,-1.10841,584.327,771,-0.526606,354.483,-1.41767,593.276,646.5,-0.180407,295.022,925.327,937,132.03,-0.0884124,49.8101,906.654,925,130.542,-0.140538,47.9334,978.788,1000,138.313,-0.153359,51.9059,201.654,112,212.022,0.422852,4.06845,980.788,1000,138.536,-0.138675,52.0005,902.135,912,129.396,-0.0762419,48.7146,980.788,1000,138.536,-0.138675,52.0005,891,908,129.494,-0.13128,46.0606,980.788,1000,138.536,-0.138675,52.0005,891,908,129.494,-0.13128,46.0606,1
senang,24.4578,-3.81,4.16,-90,35.34,-1.16115,563.802,744,-0.519811,346.661,-1.46447,549.964,632,-0.24584,333.696,946,964,135.006,-0.133328,49.7682,923.904,923.5,135.276,0.00298536,44.6194,965.731,982,136.49,-0.119197,51.8669,237.096,63,298.129,0.583963,1.02175,980.788,1000,138.536,-0.138675,52.0005,834.115,827,131.823,0.0539768,32.251,980.788,1000,138.536,-0.138675,52.0005,839.904,826,132.6,0.104855,32.3949,978.135,1000,138.359,-0.158033,51.6847,831.077,821,132.862,0.0758449,30.6849,1
